LibraryElement, DeclaringType, EntityKind, Count, Status
System.Windows.Forms.AutoScaleMode,System.Windows.Forms.AutoScaleMode,Type,1,1
System.Windows.Forms.AutoScaleMode.Font,System.Windows.Forms.AutoScaleMode,Field,1,0
System.EventArgs,System.EventArgs,Type,2,1
System.Drawing.SizeF,System.Drawing.SizeF,Type,1,1
System.Drawing.SizeF..ctor,System.Drawing.SizeF,Method,1,1
System.Drawing.ContentAlignment.MiddleCenter,System.Drawing.ContentAlignment,Field,2,1
System.Windows.Forms.Control.Controls,System.Windows.Forms.Control,Property,6,1
System.Drawing.ContentAlignment,System.Drawing.ContentAlignment,Type,1,1
System.Windows.Forms.Control.TabIndex,System.Windows.Forms.Control,Property,12,1
System.Windows.Forms.Control.Size,System.Windows.Forms.Control,Property,12,1
System.Windows.Forms.Control.RightToLeft,System.Windows.Forms.Control,Property,2,1
System.Windows.Forms.Control.Name,System.Windows.Forms.Control,Property,13,1
System.Windows.Forms.Control.Location,System.Windows.Forms.Control,Property,12,1
System.Windows.Forms.Control.ForeColor,System.Windows.Forms.Control,Property,2,1
System.Windows.Forms.Control.Click,System.Windows.Forms.Control,Event,2,1
System.Windows.Forms.Control.PerformLayout,System.Windows.Forms.Control,Method,2,1
System.Windows.Forms.Control.ResumeLayout,System.Windows.Forms.Control,Method,2,1
System.Windows.Forms.Control.SuspendLayout,System.Windows.Forms.Control,Method,2,1
System.Windows.Forms.LinkBehavior.HoverUnderline,System.Windows.Forms.LinkBehavior,Field,2,1
System.Windows.Forms.LinkBehavior.NeverUnderline,System.Windows.Forms.LinkBehavior,Field,2,1
System.Reflection.AssemblyVersionAttribute..ctor,System.Reflection.AssemblyVersionAttribute,Method,1,1
System.Windows.Forms.LinkBehavior,System.Windows.Forms.LinkBehavior,Type,2,1
System.Windows.Forms.LinkLabel+Link.Length,System.Windows.Forms.LinkLabel+Link,Property,2,1
System.Windows.Forms.LinkLabel+Link.Start,System.Windows.Forms.LinkLabel+Link,Property,2,1
System.Windows.Forms.LinkLabel+Link.LinkData,System.Windows.Forms.LinkLabel+Link,Property,2,1
System.Windows.Forms.LinkLabel+Link.Visited,System.Windows.Forms.LinkLabel+Link,Property,2,1
System.Windows.Forms.LinkLabel+LinkCollection.Add,System.Windows.Forms.LinkLabel+LinkCollection,Method,9,1
System.Windows.Forms.RightToLeft,System.Windows.Forms.RightToLeft,Type,1,1
System.Windows.Forms.Control+ControlCollection.Add,System.Windows.Forms.Control+ControlCollection,Method,18,1
System.Windows.Forms.RightToLeft.No,System.Windows.Forms.RightToLeft,Field,2,1
